emg_key,participant_id,n_mat_step4,n_mat_sim2,n_c3d_step4,n_mat_raw,n_c3d_raw
EMG_10_R_M_vastus_med,RD0036,22,22,22,22,22
EMG_10_R_M_vastus_med,RD0037,8,8,8,8,8
EMG_10_R_M_vastus_med,RD0041,23,23,23,23,23
EMG_10_R_M_vastus_med,RD0043,15,15,15,15,15
EMG_10_R_M_vastus_med,RD0044,6,6,6,6,6
EMG_10_R_M_vastus_med,RD0045,4,4,4,4,4
EMG_10_R_M_vastus_med,RD0047,6,6,6,6,6
EMG_10_R_M_vastus_med,RD0050,12,12,12,12,12
EMG_10_R_M_vastus_med,RD0051,8,8,8,8,8
EMG_10_R_M_vastus_med,RD0052,16,16,16,16,16
EMG_10_R_M_vastus_med,RD0055,4,4,4,4,4
EMG_10_R_M_vastus_med,RD0057,17,17,17,17,17
EMG_10_R_M_vastus_med,RD0059,9,9,9,9,9
EMG_10_R_M_vastus_med,RD0060,6,6,6,6,6
EMG_10_R_M_vastus_med,RD0064,16,16,16,16,16
EMG_10_R_M_vastus_med,RD0072,4,4,4,4,4
EMG_10_R_M_vastus_med,RD0075,7,7,7,7,7
EMG_10_R_M_vastus_med,RD0079,9,9,9,9,9
EMG_10_R_M_vastus_med,RD0080,18,18,18,18,18
EMG_10_R_M_vastus_med,RD71,4,4,4,4,4
EMG_11_R_M_m_semitendinosus,RD0002,0,0,4,0,4
EMG_11_R_M_semitendinosus,RD0001,17,17,17,17,17
EMG_11_R_M_semitendinosus,RD0002,18,18,0,18,0
EMG_11_R_M_semitendinosus,RD0006,14,14,14,14,14
EMG_11_R_M_semitendinosus,RD0012,22,22,22,22,22
EMG_11_R_M_semitendinosus,RD0016,18,18,21,18,21
EMG_11_R_M_semitendinosus,RD0024,16,16,16,16,16
EMG_11_R_M_semitendinosus,RD0028,12,12,12,12,12
EMG_11_R_M_semitendinosus,RD0029,15,15,15,15,15
EMG_11_R_M_semitendinosus,RD0035,13,13,13,13,13
EMG_11_R_M_semitendinosus,RD0036,22,22,22,22,22
EMG_11_R_M_semitendinosus,RD0037,8,8,8,8,8
EMG_11_R_M_semitendinosus,RD0041,23,23,23,23,23
EMG_11_R_M_semitendinosus,RD0043,15,15,15,15,15
EMG_11_R_M_semitendinosus,RD0044,6,6,6,6,6
EMG_11_R_M_semitendinosus,RD0045,4,4,4,4,4
EMG_11_R_M_semitendinosus,RD0047,6,6,6,6,6
EMG_11_R_M_semitendinosus,RD0050,12,12,12,12,12
EMG_11_R_M_semitendinosus,RD0051,8,8,8,8,8
EMG_11_R_M_semitendinosus,RD0052,16,16,16,16,16
EMG_11_R_M_semitendinosus,RD0055,4,4,4,4,4
EMG_11_R_M_semitendinosus,RD0057,17,17,17,17,17
EMG_11_R_M_semitendinosus,RD0059,9,9,9,9,9
EMG_11_R_M_semitendinosus,RD0060,6,6,6,6,6
EMG_11_R_M_semitendinosus,RD0064,16,16,16,16,16
EMG_11_R_M_semitendinosus,RD0072,4,4,4,4,4
EMG_11_R_M_semitendinosus,RD0075,7,7,7,7,7
EMG_11_R_M_semitendinosus,RD0079,9,9,9,9,9
EMG_11_R_M_semitendinosus,RD0080,18,18,18,18,18
EMG_11_R_M_semitendinosus,RD71,4,4,4,4,4
EMG_12_R_M_biceps_femoris,RD0001,17,17,17,17,17
