emg_key,participant_id,source,n_cycles,corr_med,lag_med,corr_mean,lag_mean
EMG_01_R_M_tibialis_anterior,RD0064,c3d_raw,16,0.291677285044587,0.0,0.30532491662651673,3.0
EMG_01_R_M_tibialis_anterior,RD0072,mat_step4,4,0.9423203209036538,0.0,0.9419508626676121,-0.25
EMG_01_R_M_tibialis_anterior,RD0072,mat_sim2,4,0.8752570906199255,0.0,0.8624966750796481,-0.25
EMG_01_R_M_tibialis_anterior,RD0072,mat_raw,4,0.5205054481051102,0.0,0.5269545993193449,0.0
EMG_01_R_M_tibialis_anterior,RD0072,c3d_step4,4,0.942320320903674,0.0,0.9419508626676225,-0.25
EMG_01_R_M_tibialis_anterior,RD0072,c3d_raw,4,0.5205054481051102,0.0,0.5269545993193449,0.0
EMG_01_R_M_tibialis_anterior,RD0075,mat_step4,7,0.9066958807283956,0.0,0.8655975868485325,0.0
EMG_01_R_M_tibialis_anterior,RD0075,mat_sim2,7,0.877170168513144,0.0,0.8488807427717063,0.0
EMG_01_R_M_tibialis_anterior,RD0075,mat_raw,7,0.315316656123868,0.0,0.30103221904409516,10.428571428571429
EMG_01_R_M_tibialis_anterior,RD0075,c3d_step4,7,0.9066958807284006,0.0,0.8655975868485299,0.0
EMG_01_R_M_tibialis_anterior,RD0075,c3d_raw,7,0.315316656123868,0.0,0.30103221904409516,10.428571428571429
EMG_01_R_M_tibialis_anterior,RD0079,mat_step4,9,0.960552787969251,0.0,0.9573768047009019,0.1111111111111111
EMG_01_R_M_tibialis_anterior,RD0079,mat_sim2,9,0.9339727106285809,0.0,0.9206164600695887,0.1111111111111111
EMG_01_R_M_tibialis_anterior,RD0079,mat_raw,9,0.31962247819504136,0.0,0.3757536518818434,2.4444444444444446
EMG_01_R_M_tibialis_anterior,RD0079,c3d_step4,9,0.9605527879692539,0.0,0.9573768047009114,0.1111111111111111
EMG_01_R_M_tibialis_anterior,RD0079,c3d_raw,9,0.31962247819504136,0.0,0.3757536518818434,2.4444444444444446
EMG_01_R_M_tibialis_anterior,RD0080,mat_step4,18,0.9733349762458544,0.0,0.9675201134741003,-0.16666666666666666
EMG_01_R_M_tibialis_anterior,RD0080,mat_sim2,18,0.9527133274664048,0.0,0.9428230592384038,-0.05555555555555555
EMG_01_R_M_tibialis_anterior,RD0080,mat_raw,18,0.32620076375587403,0.0,0.34505369615530374,-9.722222222222221
EMG_01_R_M_tibialis_anterior,RD0080,c3d_step4,18,0.9733349762458521,0.0,0.967520113474099,-0.16666666666666666
EMG_01_R_M_tibialis_anterior,RD0080,c3d_raw,18,0.32620076375587403,0.0,0.34505369615530374,-9.722222222222221
